"ActualNTE","CountryName","GeographicalCoverage","ProjectStaffFundingOfficer","ProjectStaffLTOOfficer","ProjectStaffLTUOfficer","ProjectStatus","ProjectSymbol","ProjectTitle","TotalBudgetFPMIS","staff","team"
"2016-06-30","Angola, Republic of","Country","Nyarko-Badohu, K.","","N'Goma-Kimbatsa, P.","Operationally Active","TCP/ANG/3502","Projet Pilote d`Assistance Preparatoire au Recensement General Agricole en Angola","$278,000 ","Nyarko-Badohu, K.N'Goma-Kimbatsa, P.","Team H"
"2016-06-30","Bangladesh","Country","Voortman, U.","Srivastava, M.","Castano, J.","Operationally Active","TCP/BGD/3502 BABY02","Initial support to develop an Integrated Framework for Census (es) for Crop, Livestock and Fishery sector","$76,000 ","Voortman, U.Srivastava, M.Castano, J.","Team H"
"2015-12-30","Brazil","Country","Damiani, F.","Cafiero, C.","Cafiero, C.","Operationally Active","TCP/BRA/3501 BABY01","Measuring Food Insecurity Indicators in Brazil","$50,543 ","Damiani, F.Cafiero, C.Cafiero, C.","Team D"
"2015-12-31","Chad","Country","Nyarko-Badohu, K.","Ouedraogo, E.","N'Goma-Kimbatsa, P.","Operationally Active","TCP/CHD/3402","Assistance preparatoire au Recensement General de l`Agriculture (RGA) et au Recensement General de l`Elevage (RGE)","$327,000 ","Nyarko-Badohu, K.Ouedraogo, E.N'Goma-Kimbatsa, P.","Team H"
"2016-04-01","Cameroon, Republic of","Country","Nyarko-Badohu, K.","Ouedraogo, E.","N'Goma-Kimbatsa, P.","Operationally Active","TCP/CMR/3501","Assistance preparatoire au Recensement General de  l`Agriculture et de l`Elevage (RGAE)","$443,000 ","Nyarko-Badohu, K.Ouedraogo, E.N'Goma-Kimbatsa, P.","Team H"
"2015-12-31","Comoros","not specified","Nyarko-Badohu, K.","","Ouedraogo, E.","Operationally Active","TCP/COI/3502 BABY01","Appui pour la preparation de Recensement General de l'Agriculture et de l'Elevage (RGAE) des Comores et la mise en place d'un Syst¸æòì†ºme Permanent Integre de Statistiques Agricoles (SPISA) et d'un TCP pour l'assistance ¸æçì†º la preparation des RGAE","$48,477 ","Nyarko-Badohu, K.Ouedraogo, E.","Team H"
"2017-06-30","Comoros","Country","Nyarko-Badohu, K.","Ouedraogo, E.","N'Goma-Kimbatsa, P.","Operationally Active","TCP/COI/3503","Assistance preparatoire au Recensement General de  l'Agriculture (RGA)","$390,000 ","Nyarko-Badohu, K.Ouedraogo, E.N'Goma-Kimbatsa, P.","Team H"
"2015-06-10","Dominican Republic","Country","Damiani, O.","Boero, V.","Castano, J.","Operationally Active","TCP/DOM/3501 BABY04","Asistencia tecnica para apoyar la realizacion de un Pre censo en el marco del VIII Censo Nacional Agropecuario","$65,000 ","Damiani, O.Boero, V.Castano, J.","Team H"
"2015-12-31","El Salvador","Country","Leon Lopez, V.","Boero, V.","Cafiero, C.","Operationally Active","TCP/ELS/3501 BABY02","Fortalecimiento del sistema de seguimiento y evaluacion de Seguridad Alimentaria Nutricional (SAN) a traves del a poyo a la implementacion de la Escala Latinoamericana y Caribe¸æçÜÑºa de Seguridad Alimentaria (ELCSA) en El Salvador","$53,390 ","Leon Lopez, V.Boero, V.Cafiero, C.","Team D"
"2016-08-31","Equatorial Guinea","Country","Nyarko-Badohu, K.","Ouedraogo, E.","Castano, J.","Operationally Active","TCP/EQG/3501 BABY02","Appui pour la preparation et le suivi du Recensement de la population et de l'habitat, du recensement de l'Agriculture et de l'enqu¸æéÉ†ºte population active, formation et emploi de Guinee Equatoriale","$70,188 ","Nyarko-Badohu, K.Ouedraogo, E.Castano, J.","Team H"
"2016-12-31","Gambia, Republic of","Country","Nyarko-Badohu, K.","Ouedraogo, E.","","Operationally Active","TCP/GAM/3504","Support to capacity development in conducting livestock census in The Gambia","$400,000 ","Nyarko-Badohu, K.Ouedraogo, E.","Team H"
"2013-12-31","Ghana","Country","Nyarko-Badohu, K.","","Ouedraogo, E.","Operationally Active","TCP/GHA/3401 BABY03","Support for the preparation of the Agriculture Census of Ghana and the implementation of a Permanent integrated System of Agricultural Statistics (PISAS)","$40,773 ","Nyarko-Badohu, K.Ouedraogo, E.","Team H"
